x,y,heading_deg
1.788416644700823710e+01,-1.722266412766089161e-01,0.000000000000000000e+00
1.789935625989495094e+01,-1.163289861009872972e-01,7.479736919539178075e+01
1.791371871839947971e+01,-6.082845564803562866e-02,7.549124776971343920e+01
1.792725382252181276e+01,-5.725049917753466389e-03,7.619959841206197382e+01
1.793996157226195365e+01,4.898123108985963370e-02,7.692265524675160293e+01
1.795184196761990236e+01,1.032903873748027834e-01,7.766064347877862417e+01
1.796289500859565891e+01,1.572024189370768710e-01,7.841377788825322170e+01
1.797312069518922684e+01,2.107173257766810082e-01,7.918226122156021063e+01
1.798251902740059904e+01,2.638351078936160832e-01,7.996628247966769720e+01
1.799109000522978263e+01,3.165557652878816519e-01,8.076601510524072580e+01
1.799883362867677405e+01,3.688792979594772703e-01,8.158161507198713025e+01
1.800574989774157331e+01,4.208057059084038265e-01,8.241321888105824200e+01
1.801183881242418039e+01,4.723349891346608764e-01,8.326094147162076808e+01
1.801710037272459530e+01,5.234671476382484201e-01,8.412487405464702306e+01
1.802153457864281805e+01,5.742021814191664575e-01,8.500508188143811594e+01
1.802514143017884862e+01,6.245400904774149886e-01,8.590160196091486000e+01
1.802792092733268703e+01,6.744808748129935694e-01,8.681444074241598230e+01
1.802987307010433682e+01,7.240245344259030880e-01,8.774357178356081022e+01
1.803099785849379089e+01,7.731710693161431003e-01,8.868893342565721127e+01
1.803129529250105634e+01,8.219204794837136063e-01,8.965042650191955431e+01
1.803076537212612607e+01,8.702727649286150502e-01,9.062791210686043542e+01
1.802940809736900718e+01,9.182279256508465437e-01,9.162120945750305623e+01
1.802722346822969612e+01,9.657859616504085309e-01,9.263009387999836974e+01
1.802421148470818935e+01,1.012946872927301456e+00,9.365429495683527250e+01
1.802037214680449395e+01,1.059710659481524431e+00,9.469349487184253178e+01
1.801570545451860994e+01,1.106077321313077899e+00,9.574732699108041345e+01
1.801021140785053021e+01,1.152046858421962083e+00,9.681537471799096295e+01
1.800389000680025831e+01,1.197619270808176539e+00,9.789717066086835473e+01
1.799674125136779423e+01,1.242794558471721489e+00,9.899219614936045275e+01
1.798876514155314155e+01,1.287572721412597376e+00,1.000998811341795971e+02
1.797996167735629314e+01,1.331953759630803313e+00,1.012196045010563097e+02
1.797033085877725611e+01,1.375937673126340632e+00,1.023506948252655775e+02
1.795987268581602336e+01,1.419524461899207557e+00,1.034924315878639192e+02
1.794858715847260200e+01,1.462714125949405197e+00,1.046440468678020466e+02
1.793647427674698847e+01,1.505506665276933553e+00,1.058047275171947774e+02
1.792353404063918276e+01,1.547902079881791959e+00,1.069736178182924249e+02
1.790976645014918489e+01,1.589900369763981303e+00,1.081498226123784150e+02
1.789517150527699485e+01,1.631501534923501140e+00,1.093324108814119739e+02
1.787974920602261619e+01,1.672705575360351471e+00,1.105204197541358724e+02
1.786349955238604181e+01,1.713512491074532296e+00,1.117128588993585225e+02
1.784642254436727526e+01,1.753922282066043614e+00,1.129087152604561197e+02
1.782851818196632010e+01,1.793934948334885426e+00,1.141069580776255492e+02
1.780978646518316921e+01,1.833550489881057732e+00,1.153065441374457833e+02
1.779022739401782971e+01,1.872768906704560532e+00,1.165064231840263886e+02
1.776984096847029804e+01,1.911590198805393825e+00,1.177055434222751558e+02
1.774862718854057420e+01,1.950014366183557613e+00,1.189028570412313002e+02
1.772658605422865463e+01,1.988041408839051893e+00,1.200973256853029199e+02
1.770371756553454645e+01,2.025671326771877112e+00,1.212879258022196325e+02
1.768002172245824610e+01,2.062904119982032825e+00,1.224736537997324177e+02
1.765549852499975714e+01,2.099739788469518142e+00,1.236535309474062529e+02
1.763014797315907245e+01,2.136178332234334842e+00,1.248266079661762120e+02
1.760397006693619559e+01,2.172219751276482036e+00,1.259919692552165600e+02
1.757696480633113012e+01,2.207864045595959279e+00,1.271487367141044871e+02
1.754913219134386893e+01,2.243111215192767460e+00,1.282960731268176175e+02
1.752047222197441911e+01,2.277961260066905691e+00,1.294331850833359283e+02
1.749098489822277713e+01,2.312414180218374415e+00,1.305593254239414307e+02
1.746067022008894298e+01,2.346469975647174078e+00,1.316737952000349026e+02
1.742952818757291311e+01,2.380128646353303790e+00,1.327759451541254805e+02
1.739755880067469462e+01,2.413390192336764883e+00,1.338651767292833483e+02
1.736476205939428397e+01,2.446254613597555583e+00,1.349409426255958522e+02
1.736137835285652287e+01,2.463574232969452993e+00,1.010545428163667765e+02
1.735799464631875821e+01,2.480893852341350403e+00,1.010545428163781025e+02
1.735461093978099356e+01,2.498213471713247369e+00,1.010545428163783868e+02
1.735122723324323246e+01,2.515533091085144779e+00,1.010545428163667765e+02
1.734784352670546781e+01,2.532852710457042633e+00,1.010545428163778183e+02
1.734445982016770316e+01,2.550172329828940043e+00,1.010545428163781025e+02
1.734107611362993850e+01,2.567491949200837009e+00,1.010545428163783868e+02
1.733769240709217740e+01,2.584811568572734419e+00,1.010545428163667765e+02
1.733430870055441275e+01,2.602131187944631829e+00,1.010545428163781025e+02
1.733092499401664810e+01,2.619450807316528795e+00,1.010545428163783868e+02
1.732754128747888345e+01,2.636770426688426205e+00,1.010545428163781025e+02
1.732415758094112235e+01,2.654090046060323616e+00,1.010545428163667765e+02
1.732077387440335769e+01,2.671409665432221026e+00,1.010545428163781025e+02
1.731739016786559304e+01,2.688729284804118436e+00,1.010545428163781025e+02
1.731400646132782839e+01,2.706048904176015846e+00,1.010545428163781025e+02
1.731062275479006729e+01,2.723368523547913256e+00,1.010545428163667765e+02
1.730723904825230264e+01,2.740688142919810666e+00,1.010545428163781025e+02
1.726584217398295351e+01,2.810979200396411581e+00,1.204953262979701094e+02
1.722553469114174618e+01,2.880565751281235265e+00,1.200812430091560685e+02
1.718631659972867709e+01,2.949447795574280828e+00,1.196550853330350890e+02
1.714818789974374980e+01,3.017625333275549160e+00,1.192163666145268763e+02
1.711114859118696430e+01,3.085098364385038927e+00,1.187645769826361857e+02
1.707519867405832059e+01,3.151866888902751906e+00,1.182991822381076901e+02
1.704033814835781513e+01,3.217930906828687210e+00,1.178196227098094511e+02
1.700656701408545146e+01,3.283290418162844837e+00,1.173253120842504700e+02
1.697388527124122959e+01,3.347945422905223900e+00,1.168156362141120184e+02
1.694229291982514596e+01,3.411895921055826175e+00,1.162899519132176067e+02
1.691178995983720768e+01,3.475141912614650774e+00,1.157475857474047700e+02
1.688237639127740408e+01,3.537683397581697253e+00,1.151878328330837746e+02
1.685405221414574584e+01,3.599520375956966944e+00,1.146099556578476069e+02
1.682681742844222583e+01,3.660652847740458071e+00,1.140131829409908306e+02
1.680067203416684762e+01,3.721080812932171966e+00,1.133967085551125251e+02
1.677561603131961121e+01,3.780804271532108629e+00,1.127596905347408978e+02
1.675164941990051659e+01,3.839823223540265396e+00,1.121012502025776598e+02
1.672877219990956021e+01,3.898137668956647595e+00,1.114204714499287405e+02
1.670698437134674208e+01,3.955747607781249009e+00,1.107164002143884574e+02
1.668628593421206929e+01,4.012653040014074968e+00,1.099880442053274976e+02
1.666667688850553475e+01,4.068853965655122806e+00,1.092343729362402058e+02
1.664815723422714200e+01,4.124350384704392525e+00,1.084543181322336238e+02
1.663072697137689104e+01,4.179142297161885899e+00,1.076467745916786072e+02
1.661438609995477833e+01,4.233229703027599378e+00,1.068106015921275684e+02
1.659913461996080741e+01,4.286612602301537400e+00,1.059446249430608873e+02
1.658497253139497829e+01,4.339290994983697303e+00,1.050476398010198267e+02
1.657189983425729096e+01,4.391264881074078197e+00,1.041184143759479355e+02
1.655991652854774188e+01,4.442534260572681859e+00,1.031556946711596368e+02
1.654902261426633459e+01,4.493099133479508289e+00,1.021582104120541459e+02
1.653921809141306554e+01,4.542959499794557487e+00,1.011246823302473103e+02
1.653050295998794184e+01,4.592115359517827677e+00,1.000538309786108329e+02
1.652287721999095638e+01,4.640566712649321524e+00,9.894438725809170876e+01
1.651634087142211271e+01,4.688313559189036361e+00,9.779510483649556818e+01
1.651089391428140729e+01,4.735355899136974855e+00,9.660477463184469116e+01
1.650653634856884366e+01,4.781693732493135229e+00,9.537224151464080535e+01
1.650326817428442183e+01,4.827327059257518371e+00,9.409642335310608985e+01
1.650108939142814179e+01,4.872255879430123393e+00,9.277633247910770820e+01
1.650000000000000000e+01,4.916480193010950295e+00,9.141109958803269819e+01
1.650000000000000000e+01,4.959999999999999964e+00,9.000000000000000000e+01
